,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
4753,Ciudad Río Bravo,Ciudad Rio Bravo,25.9861,-98.0889,Mexico,MX,MEX,Tamaulipas,minor,101481.0,1484549731
4786,Zihuatanejo,Zihuatanejo,17.6444,-101.5511,Mexico,MX,MEX,Guerrero,minor,104609.0,1484489217
4803,Tula de Allende,Tula de Allende,20.05,-99.35,Mexico,MX,MEX,Hidalgo,,103919.0,1484845374
4879,San Felipe del Progreso,San Felipe del Progreso,19.7125,-99.9511,Mexico,MX,MEX,México,minor,100201.0,1484781559
4884,Coatepec,Coatepec,19.4553,-96.9586,Mexico,MX,MEX,Veracruz,minor,92127.0,1484934939
4895,Tizayuca,Tizayuca,19.8333,-98.9833,Mexico,MX,MEX,Morelos,minor,100563.0,1484244950
4909,San Luis de la Paz,San Luis de la Paz,21.3,-100.5167,Mexico,MX,MEX,Guanajuato,minor,101370.0,1484137795
4924,Jilotepec,Jilotepec,19.9519,-99.5328,Mexico,MX,MEX,México,minor,100808.0,1484789785
4984,Tenancingo,Tenancingo,18.9608,-99.5906,Mexico,MX,MEX,México,minor,90946.0,1484006247
5033,Tultepec,Tultepec,19.685,-99.1281,Mexico,MX,MEX,México,minor,91808.0,1484818856
5038,Ciudad Lázaro Cárdenas,Ciudad Lazaro Cardenas,17.9561,-102.1922,Mexico,MX,MEX,Michoacán de Ocampo,,79200.0,1484804575
5078,Cadereyta Jiménez,Cadereyta Jimenez,25.6,-100.0,Mexico,MX,MEX,Nuevo León,minor,86445.0,1484839099
5090,Acayucan,Acayucan,17.9422,-94.9103,Mexico,MX,MEX,Veracruz,minor,83817.0,1484349924
5110,Apizaco,Apizaco,19.4167,-98.1333,Mexico,MX,MEX,Tlaxcala,minor,81565.0,1484021647
5113,Tala,Tala,20.6525,-103.7028,Mexico,MX,MEX,Jalisco,minor,80365.0,1484003075
5115,Fuentes del Valle,Fuentes del Valle,19.6325,-99.1386,Mexico,MX,MEX,México,,74087.0,1484020604
5124,Salina Cruz,Salina Cruz,16.1671,-95.2,Mexico,MX,MEX,Oaxaca,,81063.0,1484364230
5127,Jalpa de Méndez,Jalpa de Mendez,18.1764,-93.0631,Mexico,MX,MEX,Tabasco,minor,83356.0,1484768624
5133,Nacajuca,Nacajuca,18.1692,-93.0197,Mexico,MX,MEX,Tabasco,minor,83356.0,1484698021
5134,Cárdenas,Cardenas,17.983,-93.367,Mexico,MX,MEX,Tabasco,minor,79875.0,1484824578
5151,Ciudad Lerdo,Ciudad Lerdo,25.55,-103.5167,Mexico,MX,MEX,Durango,minor,79669.0,1484980436
5163,Tacámbaro de Codallos,Tacambaro de Codallos,19.2356,-101.4569,Mexico,MX,MEX,Michoacán de Ocampo,minor,76661.0,1484508699
5165,Cunduacán,Cunduacan,18.0667,-93.1667,Mexico,MX,MEX,Tabasco,minor,81392.0,1484076708
5172,Cozumel,Cozumel,20.5104,-86.9493,Mexico,MX,MEX,Quintana Roo,minor,77236.0,1484935305
5177,Cabo San Lucas,Cabo San Lucas,22.8897,-109.9156,Mexico,MX,MEX,Baja California Sur,,81111.0,1484694325
5205,Zacatlán,Zacatlan,19.9319,-97.96,Mexico,MX,MEX,Puebla,minor,76296.0,1484132726
5225,Juchitán de Zaragoza,Juchitan de Zaragoza,16.4333,-95.0194,Mexico,MX,MEX,Oaxaca,minor,74825.0,1484386317
5265,Tejupilco,Tejupilco,18.9058,-100.1528,Mexico,MX,MEX,México,minor,71077.0,1484506998
5307,Tamazunchale,Tamazunchale,21.2667,-98.7833,Mexico,MX,MEX,San Luis Potosí,minor,72685.0,1484802864
5314,Jacona de Plancarte,Jacona de Plancarte,19.95,-102.3167,Mexico,MX,MEX,México,,69744.0,1484202328
5325,Guamúchil,Guamuchil,25.4639,-108.0794,Mexico,MX,MEX,Sinaloa,minor,72500.0,1484709566
5336,Guasave,Guasave,25.5744,-108.4706,Mexico,MX,MEX,Sinaloa,minor,71196.0,1484450749
5346,Rioverde,Rioverde,21.93,-99.98,Mexico,MX,MEX,San Luis Potosí,minor,69613.0,1484341437
5352,Matehuala,Matehuala,23.6528,-100.6444,Mexico,MX,MEX,San Luis Potosí,minor,67717.0,1484682498
5376,Frontera,Frontera,26.926,-101.449,Mexico,MX,MEX,Coahuila de Zaragoza,minor,70160.0,1484811972
5428,Misantla,Misantla,19.9333,-96.85,Mexico,MX,MEX,Veracruz,minor,64249.0,1484744150
5434,Valle Hermoso,Valle Hermoso,25.6736,-97.8144,Mexico,MX,MEX,Tamaulipas,minor,68573.0,1484479299
5435,Jiquílpan de Juárez,Jiquilpan de Juarez,19.9942,-102.7172,Mexico,MX,MEX,México,minor,65000.0,1484915765
5447,Colonia del Sol,Colonia del Sol,22.9125,-109.9208,Mexico,MX,MEX,Baja California Sur,,64055.0,1484445555
5466,Huatusco,Huatusco,19.1489,-96.9661,Mexico,MX,MEX,Veracruz,minor,60674.0,1484463389
5504,Tecate,Tecate,32.5667,-116.6331,Mexico,MX,MEX,Baja California,minor,64764.0,1484547809
5515,Valle de Bravo,Valle de Bravo,19.1925,-100.1306,Mexico,MX,MEX,México,minor,61559.0,1484105173
5517,Amozoc,Amozoc,19.0333,-98.05,Mexico,MX,MEX,Puebla,minor,60517.0,1484015487
5521,Linares,Linares,24.8597,-99.5679,Mexico,MX,MEX,Nuevo León,minor,63104.0,1484504671
5526,Sabinas,Sabinas,27.86,-101.12,Mexico,MX,MEX,Coahuila de Zaragoza,minor,63522.0,1484526560
5528,Teoloyucan,Teoloyucan,19.7442,-99.1811,Mexico,MX,MEX,México,minor,63115.0,1484003827
5543,Acámbaro,Acambaro,20.0361,-100.7314,Mexico,MX,MEX,Guanajuato,minor,57972.0,1484524073
5562,Altamira,Altamira,22.3375,-97.8694,Mexico,MX,MEX,Tamaulipas,minor,59536.0,1484764524
5565,Cortazar,Cortazar,20.483,-100.933,Mexico,MX,MEX,Guanajuato,minor,57748.0,1484238779
5584,Cosamaloapan,Cosamaloapan,18.3667,-95.8,Mexico,MX,MEX,Veracruz,minor,57147.0,1484307969
5594,Sombrerete,Sombrerete,23.6333,-103.6397,Mexico,MX,MEX,Zacatecas,minor,58201.0,1484007324
5690,San Pedro,San Pedro,25.7589,-102.9844,Mexico,MX,MEX,Coahuila de Zaragoza,minor,53688.0,1484673086
5696,Temascalcingo,Temascalcingo,19.9147,-100.0036,Mexico,MX,MEX,México,minor,58169.0,1484038182
5704,Tezonapa,Tezonapa,18.6058,-96.6875,Mexico,MX,MEX,Veracruz,minor,56956.0,1484617215
5706,Etchojoa,Etchojoa,26.8667,-109.65,Mexico,MX,MEX,Sonora,minor,56129.0,1484867357
5711,Romita,Romita,20.8708,-101.5169,Mexico,MX,MEX,Guanajuato,minor,51825.0,1484697777
5716,San José Iturbide,San Jose Iturbide,21.0,-100.3833,Mexico,MX,MEX,Guanajuato,minor,54661.0,1484954448
5724,Actopan,Actopan,20.267,-98.933,Mexico,MX,MEX,Hidalgo,,56429.0,1484903562
5735,San Buenaventura,San Buenaventura,19.2641,-99.6746,Mexico,MX,MEX,México,,48037.0,1484313229
5763,Huamantla,Huamantla,19.3133,-97.9228,Mexico,MX,MEX,Tlaxcala,minor,51996.0,1484180362
5781,Nuevo Casas Grandes,Nuevo Casas Grandes,30.4167,-107.9167,Mexico,MX,MEX,Chihuahua,minor,55553.0,1484004002
5785,Zumpango,Zumpango,19.7969,-99.0992,Mexico,MX,MEX,México,minor,50742.0,1484625824
5798,Acatzingo,Acatzingo,18.9817,-97.7822,Mexico,MX,MEX,Puebla,minor,52078.0,1484022961
5837,Matamoros,Matamoros,25.533,-103.25,Mexico,MX,MEX,Coahuila de Zaragoza,minor,48511.0,1484930279
5842,Francisco I. Madero,Francisco I. Madero,25.7753,-103.2731,Mexico,MX,MEX,Coahuila de Zaragoza,minor,50084.0,1484764993
5851,Villagrán,Villagran,20.517,-100.983,Mexico,MX,MEX,Guanajuato,minor,45941.0,1484237393
5859,Chiapa de Corzo,Chiapa de Corzo,16.7083,-93.0169,Mexico,MX,MEX,Chiapas,minor,45077.0,1484314420
5897,Santiago Teyahualco,Santiago Teyahualco,19.6667,-99.1333,Mexico,MX,MEX,México,,47547.0,1484381311
5917,Valladolid,Valladolid,20.6894,-88.2017,Mexico,MX,MEX,Yucatán,,48973.0,1484332013
