,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
15582,Bocas de Satinga,Bocas de Satinga,2.3469,-78.3256,Colombia,CO,COL,Nariño,minor,32759.0,1170318285
15588,Silvia,Silvia,2.6108,-76.3789,Colombia,CO,COL,Cauca,minor,32692.0,1170405315
15602,El Difícil,El Dificil,9.8469,-74.2367,Colombia,CO,COL,Magdalena,minor,32637.0,1170207587
15618,Inzá,Inza,2.5503,-76.0636,Colombia,CO,COL,Cauca,minor,32582.0,1170048803
15665,San Pedro de Urabá,San Pedro de Uraba,8.275,-76.3769,Colombia,CO,COL,Antioquia,minor,32328.0,1170185600
15759,Remedios,Remedios,7.0275,-74.6939,Colombia,CO,COL,Antioquia,minor,32057.0,1170639594
15779,Paipa,Paipa,5.78,-73.1175,Colombia,CO,COL,Boyacá,minor,31868.0,1170592144
15788,Guachavés,Guachaves,1.2219,-77.6772,Colombia,CO,COL,Nariño,minor,31856.0,1170755614
15826,Sitionuevo,Sitionuevo,10.7758,-74.7203,Colombia,CO,COL,Magdalena,minor,31706.0,1170226891
15876,Puerto Wilches,Puerto Wilches,7.3483,-73.8983,Colombia,CO,COL,Santander,minor,31509.0,1170389077
15890,Neira,Neira,5.1664,-75.5189,Colombia,CO,COL,Caldas,minor,31399.0,1170186315
15920,Guamo,Guamo,4.0281,-74.97,Colombia,CO,COL,Tolima,minor,31350.0,1170113847
15962,Circasia,Circasia,4.6192,-75.6347,Colombia,CO,COL,Quindío,minor,30914.0,1170367133
16087,Amagá,Amaga,6.0383,-75.7028,Colombia,CO,COL,Antioquia,minor,30376.0,1170092259
16182,Chimichagua,Chimichagua,9.2578,-73.8133,Colombia,CO,COL,Cesar,minor,30303.0,1170174620
16234,Planadas,Planadas,3.1964,-75.6444,Colombia,CO,COL,Tolima,minor,30117.0,1170444880
16237,Tabio,Tabio,4.9158,-74.0983,Colombia,CO,COL,Cundinamarca,minor,29731.0,1170060372
16244,Barbosa,Barbosa,5.9331,-73.6147,Colombia,CO,COL,Santander,minor,29581.0,1170376059
16294,Fresno,Fresno,5.1536,-75.0369,Colombia,CO,COL,Tolima,minor,29794.0,1170216002
16319,Purificación,Purificacion,3.8567,-74.9325,Colombia,CO,COL,Tolima,minor,29777.0,1170787107
16341,Flandes,Flandes,4.2844,-74.8142,Colombia,CO,COL,Tolima,minor,29478.0,1170495426
16426,Sopó,Sopo,4.9081,-73.9403,Colombia,CO,COL,Cundinamarca,minor,29120.0,1170179207
16461,Moñitos,Monitos,9.2461,-76.1286,Colombia,CO,COL,Córdoba,minor,29117.0,1170797471
16475,Aipe,Aipe,3.2219,-75.2375,Colombia,CO,COL,Huila,minor,29177.0,1170334427
16519,La Dorada,La Dorada,0.3436,-76.9108,Colombia,CO,COL,Putumayo,minor,28982.0,1170206428
16529,Riosucio,Riosucio,7.4386,-77.1133,Colombia,CO,COL,Chocó,minor,29036.0,1170229854
16541,La Calera,La Calera,4.7197,-73.97,Colombia,CO,COL,Cundinamarca,minor,28908.0,1170042987
16555,Caicedonia,Caicedonia,4.3347,-75.8281,Colombia,CO,COL,Valle del Cauca,minor,28825.0,1170729476
16619,Hatonuevo,Hatonuevo,11.0672,-72.7631,Colombia,CO,COL,La Guajira,minor,28671.0,1170166285
16644,San Carlos,San Carlos,8.7944,-75.6994,Colombia,CO,COL,Córdoba,minor,28597.0,1170505254
16652,Isnos,Isnos,1.9289,-76.2158,Colombia,CO,COL,Huila,minor,28530.0,1170081298
16690,Coyaima,Coyaima,3.7975,-75.1939,Colombia,CO,COL,Tolima,minor,28443.0,1170700858
16730,Luruaco,Luruaco,10.6083,-75.1417,Colombia,CO,COL,Atlántico,minor,28246.0,1170268775
16737,Guamal,Guamal,9.1442,-74.2236,Colombia,CO,COL,Magdalena,minor,28277.0,1170423757
16872,Belén de Umbría,Belen de Umbria,5.2006,-75.8689,Colombia,CO,COL,Risaralda,minor,27727.0,1170015614
16933,Supía,Supia,5.4506,-75.6514,Colombia,CO,COL,Caldas,minor,27489.0,1170656633
16934,Argelia,Argelia,2.2558,-77.2492,Colombia,CO,COL,Cauca,minor,27670.0,1170028016
16987,Ciudad Bolívar,Ciudad Bolivar,5.8494,-76.0203,Colombia,CO,COL,Antioquia,minor,27458.0,1170990931
17001,Repelón,Repelon,10.4944,-75.1242,Colombia,CO,COL,Atlántico,minor,27445.0,1170326698
